payment_id,order_id,payment_method,payment_amount,payment_date,transaction_id,payment_status,card_last4,card_type,refund_amount,refund_date
PAY001,ORD001,Credit Card,89.99,2023-12-01,TXN123456789,Completed,1234,Visa,0.00,
PAY002,ORD002,PayPal,54.98,2023-12-02,TXN123456790,Completed,0000,PayPal,0.00,
PAY003,ORD003,Credit Card,199.99,2023-12-03,TXN123456791,Completed,5678,Mastercard,0.00,
PAY004,ORD004,Credit Card,34.99,2023-12-04,TXN123456792,Completed,9012,Visa,0.00,
PAY005,ORD005,Credit Card,79.99,2023-12-05,TXN123456793,Refunded,3456,American Express,79.99,2023-12-05
PAY006,ORD006,PayPal,129.99,2023-12-06,TXN123456794,Completed,0000,PayPal,0.00,
PAY007,ORD007,Credit Card,44.99,2023-12-07,TXN123456795,Completed,7890,Visa,0.00,
PAY008,ORD008,Credit Card,89.99,2023-12-08,TXN123456796,Completed,2345,Mastercard,0.00,
PAY009,ORD009,PayPal,69.99,2023-12-09,TXN123456797,Completed,0000,PayPal,0.00,
PAY010,ORD010,Credit Card,39.99,2023-12-10,TXN123456798,Completed,6789,Visa,0.00,
PAY011,ORD011,Credit Card,54.99,2023-12-11,TXN123456799,Refunded,0123,Mastercard,54.99,2023-12-11
PAY012,ORD012,PayPal,24.99,2023-12-12,TXN123456800,Completed,0000,PayPal,0.00,
PAY013,ORD013,Credit Card,159.98,2023-12-13,TXN123456801,Completed,4567,Visa,0.00,
PAY014,ORD014,Credit Card,89.99,2023-12-14,TXN123456802,Completed,8901,Mastercard,0.00,
PAY015,ORD015,PayPal,129.99,2023-12-15,TXN123456803,Completed,0000,PayPal,0.00,
PAY016,ORD016,Credit Card,44.99,2023-12-16,TXN123456804,Completed,2345,Visa,0.00,
PAY017,ORD017,Credit Card,79.99,2023-12-17,TXN123456805,Completed,6789,Mastercard,0.00,
PAY018,ORD018,PayPal,199.99,2023-12-18,TXN123456806,Completed,0000,PayPal,0.00,
PAY019,ORD019,Credit Card,49.99,2023-12-19,TXN123456807,Completed,0123,Visa,0.00,
PAY020,ORD020,Credit Card,34.99,2023-12-20,TXN123456808,Completed,4567,Mastercard,0.00, 
