inventory_id,product_id,warehouse_id,quantity_available,quantity_reserved,reorder_level,last_restock_date,expiry_date,location_code,is_active
INV001,PROD001,WH001,150,25,50,2023-12-01,2025-12-01,A1-B2-C3,true
INV002,PROD002,WH001,200,15,75,2023-12-05,2024-12-05,A1-B2-C4,true
INV003,PROD003,WH002,80,10,30,2023-12-10,2026-12-10,B1-C2-D3,true
INV004,PROD004,WH001,45,8,20,2023-12-15,2025-12-15,A1-B3-C1,true
INV005,PROD005,WH003,120,20,40,2023-12-20,2024-12-20,C1-D2-E3,true
INV006,PROD006,WH002,60,5,25,2023-12-25,2025-12-25,B1-C3-D1,true
INV007,PROD007,WH001,90,12,35,2023-12-30,2024-12-30,A1-B4-C2,true
INV008,PROD008,WH003,75,8,30,2024-01-05,2026-01-05,C1-D3-E1,true
INV009,PROD009,WH002,180,30,60,2024-01-10,2024-01-10,B1-C4-D2,true
INV010,PROD010,WH001,40,3,15,2024-01-15,2025-01-15,A1-B5-C3,true
INV011,PROD011,WH003,110,18,40,2024-01-20,2025-01-20,C1-D4-E2,true
INV012,PROD012,WH002,65,10,25,2024-01-25,2024-01-25,B1-C5-D3,true
INV013,PROD013,WH001,35,5,15,2024-01-30,2026-01-30,A1-B6-C4,true
INV014,PROD014,WH003,85,12,30,2024-02-05,2024-02-05,C1-D5-E3,true
INV015,PROD015,WH002,200,25,80,2024-02-10,2025-02-10,B1-C6-D4,true 
